[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:32.469 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.589 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.708 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.826 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.949 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33. 66 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.186 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.307 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.430 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.549 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.674 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.806 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:33.916 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34. 47 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.164 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.271 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.392 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.515 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.646 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.757 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.845 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:34.946 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35. 35 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.119 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.220 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.326 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.417 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.509 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.606 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:35.697 ]sampleid: 000000024021.jpg, result=true
